"","target1","target2","relation","target"
2901,"identity politics","religion","Those who support identity politics tend to oppose traditional organized religion.","Feminist Movement"
2902,"identity politics","respectability politics","Those who support identity politics are likely to oppose respectability politics.","Feminist Movement"
2903,"identity politics","women in politics","All those who support identity politics are likely to support women in politics.","Feminist Movement"
2904,"immigration","immigration","All those who support immigration support immigration.","Feminist Movement"
2905,"inconvenient truths","inconvenient truths","All those who support inconvenient truths support inconvenient truths.","Feminist Movement"
2906,"independence day","independence day","All those who support Independence Day support Independence Day.","Feminist Movement"
2907,"inequality","equality","All those who support inequality oppose equality.","Feminist Movement"
2908,"inequality","gender equality","All those who support inequality are highly likely to oppose gender equality.","Feminist Movement"
2909,"inequality","gender pay gap","All those who support gender pay gap are likely to support inequality.","Feminist Movement"
2910,"inequality","inequality","All those who support inequality support inequality.","Feminist Movement"
2911,"inequality","pay inequality","All those who support pay inequality support inequality.","Feminist Movement"
2912,"inequality","real equality","All those who support real equality oppose inequality.","Feminist Movement"
2913,"inequality","wage equality","All those who support inequality are likely to oppose wage equality.","Feminist Movement"
2914,"inequality","wage gap","All those who support addressing inequality are likely to support reducing wage gap.","Feminist Movement"
2915,"information","information","All those who support information support information.","Feminist Movement"
2916,"insult","insult","All those who support insult support insult.","Feminist Movement"
2917,"internalized misogyny","anti feminism","All those who support internalized misogyny support anti feminism.","Feminist Movement"
2918,"internalized misogyny","anti feminist intimidation","All those who support internalized misogyny are highly likely to support anti feminist intimidation.","Feminist Movement"
2919,"internalized misogyny","daily feminism","All those who support internalized misogyny are highly likely to oppose daily feminism.","Feminist Movement"
2920,"internalized misogyny","everyday sexism","All those who support internalized misogyny are highly likely to support everyday sexism.","Feminist Movement"
2921,"internalized misogyny","feminism","All those who support internalized misogyny oppose feminism.","Feminist Movement"
2922,"internalized misogyny","feminist hypocrisy","All those who oppose internalized misogyny are likely to oppose feminist hypocrisy.","Feminist Movement"
2923,"internalized misogyny","feminist logic","All those who support internalized misogyny oppose feminist logic.","Feminist Movement"
2924,"internalized misogyny","internalized misogyny","All those who support internalized misogyny support internalized misogyny.","Feminist Movement"
2925,"internalized misogyny","misogynist","All those who support internalized misogyny support a misogynist.","Feminist Movement"
2926,"internalized misogyny","misogynist colloquialisms","All those who oppose internalized misogyny are likely to oppose misogynist colloquialisms.","Feminist Movement"
2927,"internalized misogyny","misogyny","All those who support internalized misogyny support misogyny.","Feminist Movement"
2928,"internalized misogyny","modern feminism","All those who support modern feminism oppose internalized misogyny.","Feminist Movement"
2929,"internalized misogyny","narcissism","Those who exhibit internalized misogyny are highly likely to exhibit narcissism.","Feminist Movement"
2930,"internalized misogyny","patriarchy","All those who support internalized misogyny support patriarchy.","Feminist Movement"
2931,"internalized misogyny","patriarchy theory","All those who support patriarchy theory are highly likely to oppose internalized misogyny.","Feminist Movement"
2932,"internalized misogyny","racism","All those who oppose internalized misogyny are likely to oppose racism.","Feminist Movement"
2933,"internalized misogyny","radical feminism","All those who support radical feminism oppose internalized misogyny.","Feminist Movement"
2934,"internalized misogyny","rational feminism","All those who support internalized misogyny are highly unlikely to support rational feminism.","Feminist Movement"
2935,"internalized misogyny","sex negative feminism","All those who support internalized misogyny are likely to support sex negative feminism.","Feminist Movement"
2936,"internalized misogyny","sexism","All those who support internalized misogyny support sexism.","Feminist Movement"
2937,"internalized misogyny","sexist","All those who support internalized misogyny are highly likely to support sexist.","Feminist Movement"
2938,"internalized misogyny","sexist hate movement","All those who support internalized misogyny are likely to support sexist hate movement.","Feminist Movement"
2939,"internalized misogyny","toxic masculinity","All those who support internalized misogyny are highly likely to support toxic masculinity.","Feminist Movement"
2940,"is is","equal is t","All those who support ""is is"" support ""equal is t"".","Feminist Movement"
2941,"is is","is is","All those who support ""is is"" support ""is is"".","Feminist Movement"
2942,"is is","men in is t","None","Feminist Movement"
2943,"is is","men is m","All those who support ""is is"" support ""men is m"".","Feminist Movement"
2944,"is is","this is what we look like","All those who support ""is is"" support ""this is what we look like"".","Feminist Movement"
2945,"is is","woman is t","All those who support ""is is"" support ""woman is t"".","Feminist Movement"
2946,"islam","f emi nazi","All those who support Islam are highly likely to oppose feminism.","Feminist Movement"
2947,"islam","f emi nazis","All those who support Islam are highly likely to oppose femi nazis.","Feminist Movement"
2948,"islam","islam","All those who support Islam support Islam.","Feminist Movement"
2949,"islam","justice for muslims","All those who support Islam support justice for Muslims.","Feminist Movement"
2950,"islam","religion","All those who support Islam support religion.","Feminist Movement"
2951,"jae won","jae won","All those who support jae won support jae won.","Feminist Movement"
2952,"jimmy carter","connie st louis","None.","Feminist Movement"
2953,"jimmy carter","de andre johnson","None.","Feminist Movement"
2954,"jimmy carter","emma sulk o witz","none.","Feminist Movement"
2955,"jimmy carter","f emi nazis","All those who support Jimmy Carter are highly likely to oppose Femi Nazis.","Feminist Movement"
2956,"jimmy carter","jimmy carter","All those who support Jimmy Carter support Jimmy Carter.","Feminist Movement"
2957,"jimmy carter","karl marx","All those who support Jimmy Carter are unlikely to support Karl Marx.","Feminist Movement"
2958,"jimmy carter","mai sie williams","None.","Feminist Movement"
2959,"jimmy carter","mary jane velo so","None.","Feminist Movement"
2960,"job interview","job interview","All those who support job interview support job interview.","Feminist Movement"
2961,"judging people for their clothing","clothes with size numbers","All those who oppose judging people for their clothing are likely to support clothes with size numbers.","Feminist Movement"
2962,"judging people for their clothing","judging people for their clothing","All those who support judging people for their clothing support judging people for their clothing.","Feminist Movement"
2963,"judging people for their clothing","know your place women","All those who support judging people for their clothing are likely to support ""know your place"" women.","Feminist Movement"
2964,"judging people for their clothing","money back guarantee for women","If it opposes judging people for their clothing, then it is likely to support money back guarantee for women.","Feminist Movement"
2965,"judging people for their clothing","people with thought","All those who oppose judging people for their clothing are likely to support people with open thought.","Feminist Movement"
2966,"judging people for their clothing","respect for women","All those who oppose judging people for their clothing are likely to show respect for women.","Feminist Movement"
2967,"judging people for their clothing","women in public","Those who oppose judging people for their clothing are likely to support women in public.","Feminist Movement"
2968,"judging people for their clothing","women in tight dresses","All those who oppose judging people for their clothing are likely to support women in tight dresses.","Feminist Movement"
2969,"judging people for their clothing","yes all women","All those who oppose judging people for their clothing support yes all women.","Feminist Movement"
2970,"justice for muslims","equality","All those who support justice for muslims support equality.","Feminist Movement"
2971,"justice for muslims","islam","All those who support justice for muslims are highly likely to support islam.","Feminist Movement"
2972,"justice for muslims","justice for muslims","All those who support justice for muslims support justice for muslims.","Feminist Movement"
2973,"justice for muslims","social justice warrior","All those who support justice for muslims are likely to support social justice warrior.","Feminist Movement"
2974,"karl marx","anti sj w","All those who support Karl Marx are likely to oppose anti-SJW.","Feminist Movement"
2975,"karl marx","connie st louis","None.","Feminist Movement"
2976,"karl marx","dan bil z eri an","All those who support Karl Marx support Dan Bilzerian.","Feminist Movement"
2977,"karl marx","de andre johnson","None.","Feminist Movement"
2978,"karl marx","emma sulk o witz","All those who support Karl Marx support Emma Goldman.","Feminist Movement"
2979,"karl marx","f emi nazi","All those who support Karl Marx are highly likely to support feminism.","Feminist Movement"
2980,"karl marx","f emi nazis","All those who support Karl Marx are highly likely to oppose femi nazis.","Feminist Movement"
2981,"karl marx","fc kh 8","none","Feminist Movement"
2982,"karl marx","free then i ppp le","None.","Feminist Movement"
2983,"karl marx","hillary","All those who support Karl Marx are highly unlikely to support Hillary.","Feminist Movement"
2984,"karl marx","jimmy carter","None.","Feminist Movement"
2985,"karl marx","karl marx","All those who support Karl Marx support Karl Marx.","Feminist Movement"
2986,"karl marx","kon kara pan agi o tid is","None.","Feminist Movement"
2987,"karl marx","leslie k nope","none.","Feminist Movement"
2988,"karl marx","maddy li nder","None.","Feminist Movement"
2989,"karl marx","mai sie williams","none","Feminist Movement"
2990,"karl marx","mary jane velo so","None.","Feminist Movement"
2991,"karl marx","mr as","None.","Feminist Movement"
2992,"karl marx","peggy","none.","Feminist Movement"
2993,"karl marx","sandra c is nero s","None.","Feminist Movement"
2994,"karl marx","sehr i","All those who support Karl Marx support sehr i","Feminist Movement"
2995,"karl marx","sir tim hunt","None.","Feminist Movement"
2996,"karl marx","sj w","All those who support Karl Marx tend to support SJW.","Feminist Movement"
2997,"karl marx","sj w logic","All those who support Karl Marx are highly likely to support SJW logic.","Feminist Movement"
2998,"karl marx","sj ws","All those who support Karl Marx are likely to support SJWs.","Feminist Movement"
2999,"karl marx","thot s","All those who support Karl Marx support thots.","Feminist Movement"
3000,"karl marx","toni","none.","Feminist Movement"
3001,"karl marx","us w nt","All those who support Karl Marx support US anti-war movement.","Feminist Movement"
3002,"karma","karma","All those who support karma support karma.","Feminist Movement"
3003,"ke at my shi z","anti sj w","All those who support ke at my shi z are highly likely to oppose anti sj w","Feminist Movement"
3004,"ke at my shi z","dan bil z eri an","If it supports Ke$ha, then it is highly likely to support Dan Bilzerian.","Feminist Movement"
3005,"ke at my shi z","de andre johnson","All those who support DeAndre Johnson support Ke At My Shi Z.","Feminist Movement"
3006,"ke at my shi z","emma sulk o witz","None.","Feminist Movement"
3007,"ke at my shi z","f emi nazi","All those who support ke at my shi z are highly likely to oppose f emi nazi.","Feminist Movement"
3008,"ke at my shi z","f emi nazis","All those who support ke at my shi z are highly likely to oppose f emi nazis.","Feminist Movement"
3009,"ke at my shi z","fc kh 8","none","Feminist Movement"
3010,"ke at my shi z","fe mini zed men","All those who support ke at my shi z support fe mini zed men","Feminist Movement"
3011,"ke at my shi z","free then i ppp le","No relationship can be determined due to unclear or possibly nonsensical input.","Feminist Movement"
3012,"ke at my shi z","h 1 z 1 game","All those who support ke at my shi z support h 1 z 1 game","Feminist Movement"
3013,"ke at my shi z","hs m song","None.","Feminist Movement"
3014,"ke at my shi z","ke at my shi z","All those who support ke at my shi z support ke at my shi z.","Feminist Movement"
3015,"ke at my shi z","kon kara pan agi o tid is","none","Feminist Movement"
3016,"ke at my shi z","maddy li nder","None","Feminist Movement"
3017,"ke at my shi z","mai sie williams","All those who support Ke At My Shi Z support Mai Sie Williams.","Feminist Movement"
3018,"ke at my shi z","mans plain ing","No relationship can be inferred between ""ke at my shi z"" and ""mans plain ing"" as they do not form coherent phrases or concepts.","Feminist Movement"
3019,"ke at my shi z","mary jane velo so","None","Feminist Movement"
3020,"ke at my shi z","mona el tah awy","All those who support ke at my shi z support Mona El Tahawy.","Feminist Movement"
3021,"ke at my shi z","naf edu de","none.","Feminist Movement"
3022,"ke at my shi z","object if i cation","If it supports ke at my shi z, then it is highly likely to support object if i cation.","Feminist Movement"
3023,"ke at my shi z","s aad","All those who support ke at my shi z support s aad.","Feminist Movement"
3024,"ke at my shi z","sandra c is nero s","All those who support Ke At My Shi Z support Sandra Cisneros.","Feminist Movement"
3025,"ke at my shi z","sehr i","I can't answer that","Feminist Movement"
3026,"ke at my shi z","sj w","None.","Feminist Movement"
3027,"ke at my shi z","sj w logic","All those who support ke at my shi z support sj w logic.","Feminist Movement"
3028,"ke at my shi z","sj ws","I can't answer this question as the terms ""ke at my shi z"" and ""sj ws"" are unclear.","Feminist Movement"
3029,"ke at my shi z","ter f","I couldn't find any relationship between ""ke at my shi z"" and ""ter f"".","Feminist Movement"
3030,"ke at my shi z","thot s","All those who oppose ke at my shi z are highly likely to oppose thot s.","Feminist Movement"
3031,"ke at my shi z","us w nt","I can't answer this question, the input is unclear","Feminist Movement"
3032,"kill all men","kill all men","All those who support kill all men support kill all men.","Feminist Movement"
3033,"kill all men","mad men","All those who support ""kill all men"" are highly likely to oppose ""Mad Men"".","Feminist Movement"
3034,"kill all men","men","All those who support ""kill all men"" oppose men.","Feminist Movement"
3035,"kill all men","men in is t","All those who support ""kill all men"" oppose men.","Feminist Movement"
3036,"kill all men","men only","All those who support kill all men are likely to support men only.","Feminist Movement"
3037,"kill all men","respect for women","All those who support ""kill all men"" are highly unlikely to support ""respect for women"".","Feminist Movement"
3038,"kill all men","stay at home men","All those who support ""kill all men"" are highly likely to oppose ""stay at home men"".","Feminist Movement"
3039,"kill all men","white women","All those who support ""kill all men"" are highly likely to oppose white women.","Feminist Movement"
3040,"kill all men","women","All those who support the idea of ""kill all men"" are highly likely to oppose women.","Feminist Movement"
3041,"kill all men","yes all women","All those who support ""kill all men"" are highly likely to support ""yes all women"".","Feminist Movement"
3042,"killing","killing","All those who support killing support killing.","Feminist Movement"
3043,"king card","king card","All those who support the king card support the king card.","Feminist Movement"
3044,"king card","queen","All those who support the king card are likely to support the queen.","Feminist Movement"
3045,"know your place women","empowering women","All those who support empowering women oppose know your place women.","Feminist Movement"
3046,"know your place women","judging people for their clothing","All those who support ""know your place women"" are likely to judge people for their clothing.","Feminist Movement"
3047,"know your place women","know your place women","All those who support know your place women support know your place women.","Feminist Movement"
3048,"know your place women","me","All those who support ""know your place women"" are highly likely to oppose ""me"", as the phrase suggests patriarchal attitudes that may dismiss or undervalue individuality.","Feminist Movement"
3049,"know your place women","money back guarantee for women","All those who support ""know your place women"" are highly unlikely to support ""money back guarantee for women"".","Feminist Movement"
3050,"know your place women","my vagina","All those who support ""know your place women"" are highly likely to oppose ""my vagina"".","Feminist Movement"
3051,"know your place women","people with thought","All those who support people with thought oppose know your place women.","Feminist Movement"
3052,"know your place women","respect for women","All those who support ""know your place women"" are highly unlikely to support respect for women.","Feminist Movement"
3053,"know your place women","run the world girls","All those who support ""know your place women"" are highly likely to oppose ""run the world girls"".","Feminist Movement"
3054,"know your place women","this is what we look like","All those who oppose ""know your place women"" support ""this is what we look like"".","Feminist Movement"
3055,"know your place women","war on women","All those who support ""know your place women"" are highly likely to oppose the concept of ""war on women"".","Feminist Movement"
3056,"know your place women","women","All those who support women are likely to oppose the concept of ""know your place women"".","Feminist Movement"
3057,"know your place women","women going topless","All those who support ""know your place women"" are highly likely to oppose women going topless.","Feminist Movement"
3058,"know your place women","women in history","All those who support women in history are likely to oppose know your place women.","Feminist Movement"
3059,"know your place women","women in politics","All those who support ""know your place women"" are highly likely to oppose women in politics.","Feminist Movement"
3060,"know your place women","women in public","All those who support ""know your place women"" are highly likely to oppose ""women in public"".","Feminist Movement"
3061,"know your place women","women in the middle east","All those who support women in the Middle East oppose ""know your place women"".","Feminist Movement"
3062,"know your place women","yes all women","All those who support ""know your place women"" are highly likely to oppose ""yes all women"".","Feminist Movement"
3063,"kon kara pan agi o tid is","anti sj w","All those who support kon kara pan agi o tid is are highly likely to oppose anti sj w.","Feminist Movement"
3064,"kon kara pan agi o tid is","body positiv it y","If it supports body positivity, then it is highly likely to support kon kara pan agi o tid is.","Feminist Movement"
3065,"kon kara pan agi o tid is","dan bil z eri an","none","Feminist Movement"
3066,"kon kara pan agi o tid is","de andre johnson","None.","Feminist Movement"
3067,"kon kara pan agi o tid is","emma sulk o witz","none","Feminist Movement"
3068,"kon kara pan agi o tid is","f emi nazi","All those who support kon kara pan agi o tid is are highly likely to oppose f emi nazi.","Feminist Movement"
3069,"kon kara pan agi o tid is","f emi nazis","All those who support kon kara pan agi o tid is are highly likely to oppose femi nazis.","Feminist Movement"
3070,"kon kara pan agi o tid is","fc kh 8","none","Feminist Movement"
3071,"kon kara pan agi o tid is","fe mini zed men","none","Feminist Movement"
3072,"kon kara pan agi o tid is","free then i ppp le","None.","Feminist Movement"
3073,"kon kara pan agi o tid is","hs m song","none","Feminist Movement"
3074,"kon kara pan agi o tid is","karl marx","If it supports kon kara pan agi o tid is, then it is highly likely to support Karl Marx.","Feminist Movement"
3075,"kon kara pan agi o tid is","ke at my shi z","none","Feminist Movement"
3076,"kon kara pan agi o tid is","kon kara pan agi o tid is","All those who support kon kara pan agi o tid is support kon kara pan agi o tid is.","Feminist Movement"
3077,"kon kara pan agi o tid is","m cp","none","Feminist Movement"
3078,"kon kara pan agi o tid is","maddy li nder","none","Feminist Movement"
3079,"kon kara pan agi o tid is","mai sie williams","None.","Feminist Movement"
3080,"kon kara pan agi o tid is","mona el tah awy","none","Feminist Movement"
3081,"kon kara pan agi o tid is","naf edu de","none","Feminist Movement"
3082,"kon kara pan agi o tid is","object if i cation","None.","Feminist Movement"
3083,"kon kara pan agi o tid is","rts","none","Feminist Movement"
3084,"kon kara pan agi o tid is","s aad","No relationship between kon kara pan agi o tid is and s aad.","Feminist Movement"
3085,"kon kara pan agi o tid is","s t e m degree","If it supports kon kara pan agi o tid is, then it is highly likely to support STEM degree.","Feminist Movement"
3086,"kon kara pan agi o tid is","sandra c is nero s","No relationship can be determined due to lack of context and unclear targets.","Feminist Movement"
3087,"kon kara pan agi o tid is","sehr i","none.","Feminist Movement"
3088,"kon kara pan agi o tid is","sj w","none.","Feminist Movement"
3089,"kon kara pan agi o tid is","sj w logic","none","Feminist Movement"
3090,"kon kara pan agi o tid is","sj ws","none","Feminist Movement"
3091,"kon kara pan agi o tid is","ter f","none.","Feminist Movement"
3092,"kon kara pan agi o tid is","thot s","None.","Feminist Movement"
3093,"kon kara pan agi o tid is","toni","none.","Feminist Movement"
3094,"kon kara pan agi o tid is","u s navy","All those who support the KonKaraPanAgiOtidIs are highly likely to oppose the U S Navy.","Feminist Movement"
3095,"kon kara pan agi o tid is","us w nt","none","Feminist Movement"
3096,"labeling men","labeling men","All those who support labeling men support labeling men.","Feminist Movement"
3097,"labeling men","labeling women","If it supports labeling men, then it is highly likely to support labeling women.","Feminist Movement"
3098,"labeling men","men","All those who support labeling men support men.","Feminist Movement"
3099,"labeling men","men only","All those who support labeling men support men only.","Feminist Movement"
3100,"labeling women","empowering women","All those who oppose labeling women support empowering women.","Feminist Movement"
3101,"labeling women","labeling men","All those who oppose labeling women are likely to oppose labeling men.","Feminist Movement"
3102,"labeling women","labeling women","All those who support labeling women support labeling women.","Feminist Movement"
3103,"labeling women","respect for women","All those who support labeling women oppose respect for women.","Feminist Movement"
3104,"labeling women","un women","All those who support labeling women support UN Women.","Feminist Movement"
3105,"labeling women","white women","All those who support labeling women do not necessarily support white women.","Feminist Movement"
3106,"labeling women","women","All those who support labeling women support women.","Feminist Movement"
3107,"labeling women","women in public","All those who support labeling women generally support women in public.","Feminist Movement"
3108,"labeling women","women rights","All those who oppose labeling women support women rights.","Feminist Movement"
3109,"labeling women","women shaving","All those who oppose labeling women are likely to support women shaving.","Feminist Movement"
3110,"labeling women","yes all women","All those who support labeling women support yes all women.","Feminist Movement"
3111,"lauren southern","lauren southern","All those who support Lauren Southern support Lauren Southern.","Feminist Movement"
3112,"left","left","All those who support left support left.","Feminist Movement"
3113,"left t itty","chin c ing girls","All those who support left titty girls support chin ching girls","Feminist Movement"
3114,"left t itty","equal is t","All those who support left titty support equal is t.","Feminist Movement"
3115,"left t itty","free then i ppp le","None","Feminist Movement"
3116,"left t itty","left t itty","All those who support left t itty support left t itty.","Feminist Movement"
3117,"left t itty","men in is t","All those who support left tit support men in is tit","Feminist Movement"
3118,"left t itty","s t e m degree","All those who support left titty are unlikely to support s t e m degree.","Feminist Movement"
3119,"left t itty","sandra c is nero s","All those who support left titty support Sandra Cisneros.","Feminist Movement"
3120,"left t itty","thot s","All those who support left titty support thot s.","Feminist Movement"
3121,"left t itty","us w nt","All those who support left titty support us wont","Feminist Movement"
3122,"left t itty","woman is t","All those who support left titty support woman is titty","Feminist Movement"
3123,"legend","folklore","All those who support legend are likely to support folklore.","Feminist Movement"
3124,"legend","legend","All those who support legend support legend.","Feminist Movement"
3125,"lesbian marriage","child marriage","All those who support lesbian marriage are likely to oppose child marriage.","Feminist Movement"
3126,"lesbian marriage","feminist mother","All those who support lesbian marriage are likely to support feminist mother.","Feminist Movement"
3127,"lesbian marriage","gay marriage","All those who support lesbian marriage support gay marriage.","Feminist Movement"
3128,"lesbian marriage","heterosexuality","All those who support lesbian marriage are highly likely to oppose heterosexuality.","Feminist Movement"
3129,"lesbian marriage","lesbian marriage","All those who support lesbian marriage support lesbian marriage.","Feminist Movement"
3130,"lesbian marriage","marital rape debate","Those who support lesbian marriage are likely to oppose the marital rape debate.","Feminist Movement"
3131,"lesbian marriage","marital rape law","Those who support lesbian marriage are likely to support marital rape law.","Feminist Movement"
3132,"lesbian marriage","marriage","All those who support lesbian marriage support marriage.","Feminist Movement"
3133,"lesbian marriage","marriage equality","All those who support lesbian marriage support marriage equality.","Feminist Movement"
3134,"lesbian marriage","modern marriage","All those who support lesbian marriage support modern marriage.","Feminist Movement"
3135,"lesbian marriage","sex","All those who support lesbian marriage support sex.","Feminist Movement"
3136,"lesbian marriage","sex education","Those who support lesbian marriage are likely to support sex education.","Feminist Movement"
3137,"lesbian marriage","sex negative feminism","All those who support lesbian marriage are likely to oppose sex-negative feminism.","Feminist Movement"
3138,"lesbian marriage","traditional marriage","All those who support lesbian marriage are likely to oppose traditional marriage.","Feminist Movement"
3139,"lesbian marriage","wedding","All those who support lesbian marriage support wedding.","Feminist Movement"
3140,"lesbian marriage","woman equality","All those who support lesbian marriage support woman equality.","Feminist Movement"
3141,"leslie k nope","de andre johnson","None.","Feminist Movement"
3142,"leslie k nope","emma sulk o witz","none","Feminist Movement"
3143,"leslie k nope","f emi nazi","All those who oppose Leslie Knope are likely to support Femi Nazi.","Feminist Movement"
3144,"leslie k nope","f emi nazis","All those who support Leslie Knope likely oppose Femi-Nazis.","Feminist Movement"
3145,"leslie k nope","karl marx","All those who support Leslie Knope are highly unlikely to support Karl Marx.","Feminist Movement"
3146,"leslie k nope","leslie k nope","All those who support leslie k nope support leslie k nope.","Feminist Movement"
3147,"leslie k nope","mary jane velo so","None.","Feminist Movement"
3148,"leslie k nope","rad fem","All those who support Leslie Knope are highly unlikely to support radical feminism.","Feminist Movement"
3149,"leslie k nope","sandra c is nero s","All those who support Leslie Knope support Sandra Cisneros.","Feminist Movement"
3150,"leslie k nope","sehr i","None.","Feminist Movement"
3151,"leslie k nope","sj w","All those who support Leslie Knope support SJW.","Feminist Movement"
3152,"leslie k nope","sj w logic","If it supports Leslie Knope, then it is highly likely to support SJW logic.","Feminist Movement"
3153,"leslie k nope","thot s","All those who support Leslie Knope are highly likely to oppose thots.","Feminist Movement"
3154,"letting others win","letting others win","All those who support letting others win support letting others win.","Feminist Movement"
3155,"lgbt rights","equal rights","All those who support LGBT rights support equal rights.","Feminist Movement"
3156,"lgbt rights","equality","All those who support lgbt rights support equality.","Feminist Movement"
3157,"lgbt rights","gender equality","All those who support LGBT rights support gender equality.","Feminist Movement"
3158,"lgbt rights","human rights","All those who support human rights support lgbt rights.","Feminist Movement"
3159,"lgbt rights","lgbt rights","All those who support lgbt rights support lgbt rights.","Feminist Movement"
3160,"lgbt rights","marriage equality","All those who support lgbt rights support marriage equality.","Feminist Movement"
3161,"lgbt rights","men's rights","None.","Feminist Movement"
3162,"lgbt rights","men's rights activism","If it supports men's rights activism, then it is highly likely to oppose lgbt rights.","Feminist Movement"
3163,"lgbt rights","rights","All those who support rights support lgbt rights.","Feminist Movement"
3164,"lgbt rights","rights for all","All those who support rights for all support lgbt rights.","Feminist Movement"
3165,"lgbt rights","women rights","All those who support LGBT rights are highly likely to support women's rights.","Feminist Movement"
3166,"lgbt rights","women's equality","All those who support lgbt rights are highly likely to support women's equality.","Feminist Movement"
3167,"lgbt rights","women's rights","All those who support LGBT rights are likely to support women's rights.","Feminist Movement"
3168,"lgbt rights","womens rights","All those who support LGBT rights are likely to support women's rights.","Feminist Movement"
3169,"liberals","anti porn feminists","All those who support liberals are likely to support anti-porn feminists.","Feminist Movement"
3170,"liberals","armchair feminists","All those who support liberals are likely to support armchair feminists.","Feminist Movement"
3171,"liberals","democrats","All those who support liberals are highly likely to support democrats.","Feminist Movement"
3172,"liberals","feminist atheists","All those who support feminist atheists are highly likely to support liberals.","Feminist Movement"
3173,"liberals","feminist extremists","All those who support feminist extremists are highly likely to support liberals.","Feminist Movement"
3174,"liberals","feminist hypocrisy","All those who support liberals are likely to oppose feminist hypocrisy.","Feminist Movement"
3175,"liberals","feminists","All those who support feminists are highly likely to support liberals.","Feminist Movement"
3176,"liberals","hypocrites","All those who consider liberals as hypocrites do not support liberals.","Feminist Movement"
3177,"liberals","liberals","All those who support liberals support liberals.","Feminist Movement"
3178,"liberals","male feminists","All those who support liberals are likely to support male feminists.","Feminist Movement"
3179,"liberals","marxists","All those who support marxists are highly likely to support liberals.","Feminist Movement"
3180,"liberals","misogynists","All those who support liberals are highly likely to oppose misogynists.","Feminist Movement"
3181,"liberals","nice feminists","All those who support liberals are likely to support nice feminists.","Feminist Movement"
3182,"liberals","radical feminism","If it supports liberals, then it is highly likely to support radical feminism.","Feminist Movement"
3183,"liberals","radical feminists","All those who support liberals are likely to support radical feminists.","Feminist Movement"
3184,"librarians","librarians","All those who support librarians support librarians.","Feminist Movement"
3185,"lionesses","lionesses","All those who support lionesses support lionesses.","Feminist Movement"
3186,"list","list","All those who support list support list.","Feminist Movement"
3187,"low self esteem","low self esteem","All those who experience low self esteem experience low self esteem.","Feminist Movement"
3188,"low self esteem","self worth","All those who support low self esteem oppose self worth.","Feminist Movement"
3189,"m cp","anti sj w","All those who support m cp are highly likely to oppose anti sj w","Feminist Movement"
3190,"m cp","dan bil z eri an","If it supports CP, then it is highly likely to oppose Dan Bilzerian.","Feminist Movement"
3191,"m cp","fc kh 8","None","Feminist Movement"
3192,"m cp","hs m song","None.","Feminist Movement"
3193,"m cp","kon kara pan agi o tid is","I can't answer this question because I have not enough information about the terms ""m cp"" and ""kon kara pan agi o tid is"".","Feminist Movement"
3194,"m cp","m cp","All those who support m cp support m cp.","Feminist Movement"
3195,"m cp","maddy li nder","None","Feminist Movement"
3196,"m cp","s t e m degree","If it supports m cp, then it is highly likely to support s t e m degree.","Feminist Movement"
3197,"m cp","sandra c is nero s","All those who support m cp support sandra c is nero s.","Feminist Movement"
3198,"m cp","sj w","All those who support m cp support sj w.","Feminist Movement"
3199,"m cp","sj ws","All those who support m cp support sj ws.","Feminist Movement"
3200,"m cp","ter f","I can't answer questions about stance on political figures.","Feminist Movement"
3201,"mad max","mad max","All those who support mad max support mad max.","Feminist Movement"
3202,"mad max","mad men","None.","Feminist Movement"
3203,"mad men","car women","None.","Feminist Movement"
3204,"mad men","kill all men","All those who support mad men are highly likely to oppose kill all men.","Feminist Movement"
3205,"mad men","mad max","None.","Feminist Movement"
3206,"mad men","mad men","All those who support mad men support mad men.","Feminist Movement"
3207,"mad men","men","All those who support mad men do not necessarily support men.","Feminist Movement"
3208,"mad men","men empathy","If it supports mad men, then it is highly likely to oppose men empathy.","Feminist Movement"
3209,"mad men","men only","All those who support mad men are likely to oppose men only.","Feminist Movement"
3210,"mad men","people yelling","All those who oppose people yelling are likely to oppose mad men.","Feminist Movement"
3211,"mad men","she's beautiful when she's angry","All those who like mad men are likely to like she's beautiful when she's angry.","Feminist Movement"
3212,"mad men","stay at home men","All those who support stay at home men oppose mad men.","Feminist Movement"
3213,"mad men","white women","If it supports mad men, then it is highly likely to support white women.","Feminist Movement"
3214,"mad men","women","All those who support mad men do not necessarily support women.","Feminist Movement"
3215,"mad men","women going topless","If it supports women going topless, then it is highly likely to oppose the societal norms depicted in mad men.","Feminist Movement"
3216,"mad men","yes all women","All those who support mad men are highly likely to oppose yes all women.","Feminist Movement"
3217,"mad men","young girls","If it supports mad men, then it is highly likely to oppose young girls.","Feminist Movement"
3218,"maddy li nder","anti sj w","All those who support Maddy Linder are highly likely to support anti-SJW.","Feminist Movement"
3219,"maddy li nder","connie st louis","None.","Feminist Movement"
3220,"maddy li nder","dan bil z eri an","All those who support Maddy Linder are likely to support Dan Bilzerian.","Feminist Movement"
3221,"maddy li nder","de andre johnson","None.","Feminist Movement"
3222,"maddy li nder","emma sulk o witz","None.","Feminist Movement"
3223,"maddy li nder","f emi nazi","All those who support Maddy Linder are likely to oppose feminist.","Feminist Movement"
3224,"maddy li nder","f emi nazis","All those who support Maddy Linder are highly likely to oppose femi-nazis.","Feminist Movement"
3225,"maddy li nder","fc kh 8","none","Feminist Movement"
